x,y,z,p,wss_x,wss_y,wss_z,wss_mag
-0.11604788,-0.030066172,-0.018969455,0,-1.78057125656e-05,0.00024684849048,-0.0002612075789,0.0003598341561428308
-0.11819064,-0.019099854,-0.015715958,0,0.00033419442452,-4.129370057e-05,-0.00035270226195999996,0.00048763712807652293
-0.066585733,-0.066512667,-0.11538515,0,0.0039304316268,-0.0023423448164000002,-0.00170842350068,0.004884012988265013
-0.11310923,-0.033369588,-0.018228067,0,-9.048615653e-05,0.00032012333751999997,-0.0002752729488,0.0004317891755122665
-0.11861066,-0.022975525,-0.017745833,0,0.00028794198222,4.693540506e-05,-0.00021992217314,0.00036534816218444186
-0.067123582,0.070185618,-0.10421079,0,0.00405831854,-0.00164515668794,-0.00132563496988,0.0045753467599024865
-0.068283279,0.069344686,-0.10842266,0,0.0021651133122,-0.00183251375798,-0.0009135090902799999,0.0029799867761243215
-0.066592049,0.066516075,-0.11538212,0,0.0035602993512,-0.0027409153516,-0.0004999253100599999,0.0045208709061894566
-0.085921502,0.065736415,-0.034983703,0,-0.0008822294520399999,0.00158191462924,-0.00042377833240000003,0.0018602071861118185
-0.11596378,0.026410597,-0.016791206,0,0.000181312247814,0.00010253190569,-0.00027993332812,0.00034892634048481916
-0.084673012,-0.06496546,-0.031814015,0,-0.00167565659398,0.00158099576088,-0.00032418849652,0.002326471748838804
-0.11802118,0.01844977,-0.015321509,0,0.00035857324221999997,-6.3090904594e-05,-0.00031145785884,0.0004791254847238345
-0.11605161,0.030061435,-0.018970347,0,-4.5520962424e-06,0.00032385869006,-0.00027390718376,0.0004241819397651362
-0.11311253,0.033366663,-0.018229365,0,5.8599296072e-06,0.0002647086507,-0.00025111445008,0.00036491571022552146
-0.11877007,0.022482908,-0.017725141,0,0.00031666483304,4.9184235372e-05,-0.00027474418726,0.00042211381631798944
-0.090188052,-0.064201467,-0.035556029,0,-0.00180112214482,0.002047045769,-0.00057841196576,0.002787292191908869
-0.084683667,0.064963947,-0.031820988,0,-0.0014566535700399998,0.0013750737626399999,-0.0002445628942,0.002018038276403766
-0.070298749,-0.071687179,-0.10112849,0,0.0029942213968,-0.00169845388128,-0.00131089518278,0.0036835517561350823
-0.090200253,0.064200208,-0.035565628,0,-0.0016989466953,0.00197806546706,-0.00043607986662,0.0026437338208521303
-0.070300259,0.071689414,-0.10111961,0,0.00172317749026,-0.00156236214724,-0.0007381374088599999,0.00244032026103659
-0.11908675,-0.030421947,-0.022230572,0,-2.535434553e-05,0.00025283527712,-0.00026159411503999996,0.0003646916522449651
-0.072632031,-0.070219072,-0.10960859,0,0.0024126260294,-0.00156015031158,-0.00149901423192,0.0032406599667290444
-0.074538814,-0.072291241,-0.10241813,0,0.00069050373526,-0.0006107352054399999,-0.00065126779952,0.0011286906778491057
-0.12160468,-0.023335751,-0.020905084,0,0.00031133840154,-3.4428582818e-05,-0.00030981167506,0.00044056804422452293
-0.11312142,-0.036672187,-0.020688527,0,-4.3590249609999995e-05,0.00029029205134,-0.00026177804518,0.0003933158144170018
-0.07454252,0.072293896,-0.10240792,0,0.0036191531845999997,-0.00187849617262,-0.0013970230535599998,0.004310300576099818
-0.075714593,-0.071664533,-0.10668774,0,0.0024740477434,-0.0014204510272600001,0.00020482515756000002,0.0028601655026652046
-0.12054644,-0.015470266,-0.016862241,0,0.00028869473372,5.3280013955999996e-05,-0.000355818262,0.00046129171327644064
-0.072637454,0.070222049,-0.10960268,0,0.004041276567,-0.002187799768,-0.00119965062732,0.004749478470682168
-0.070778337,-0.067417966,-0.11702078,0,0.0029085429302,-0.00180736850786,-0.0012792561696399998,0.003655502598492099
-0.075720018,0.071667463,-0.10667912,0,0.0021429640632,-0.0023314247542,5.7869561416e-05,0.0031672046423939304
-0.070785963,0.067422659,-0.1170147,0,0.0033183693320000002,-0.00190851237188,-0.0021918137740000003,0.004411127080131933
-0.098821564,-0.059163238,-0.033867618,0,-0.0007081400660000001,0.00123150329952,-0.00036174091681999995,0.0014659192408536378
-0.073893624,-0.069331325,-0.11405683,0,0.002677695058,-0.0022371912994,-0.00012949302512400002,0.003491682141504929
-0.11693152,-0.011528548,-0.012197726,0,0.00058285772314,7.401047733000001e-05,-0.00066726689324,0.0008890701788906886
-0.1142973,-0.0061432439,-0.0086758906,0,0.00058028418562,-4.1066984456e-05,-0.0006447716493599999,0.0008684162096088434
-0.0738999,0.069335184,-0.11405002,0,0.002223547691,-0.00183965361348,-0.0013544780804,0.0031879618288219074
-0.12199379,-0.0271319,-0.023211501,0,1.54987694366e-05,0.00017798496783000002,-0.00022531293706,0.0002875496135175607
-0.11899705,-0.034017061,-0.024574009,0,-1.53975962248e-06,0.000190672809506,-0.000183158734706,0.0002643966967337324
-0.098833232,0.059151663,-0.033858902,0,-0.00064083740192,0.0011071742881,-0.00025904336568,0.0013052244807818078
-0.11597036,-0.036963885,-0.023773352,0,-0.00032996872534,0.00055883936358,-0.00029892443102,0.0007145184458428169
-0.12416124,-0.019879908,-0.021980444,0,0.00023712787586,9.3936630992e-05,-0.00030172352317999997,0.00039508328817118387
-0.12352302,-0.015890094,-0.019967476,0,0.00044930891506,-6.431939103e-05,-0.00038153873262,0.0005929479654271023
-0.11982235,0.01410223,-0.015768176,0,0.00033192244898,-2.8593251184e-05,-0.00033135751925999997,0.0004698807207369688
-0.11909123,0.030416469,-0.022231709,0,-2.4801513996e-05,0.00038604721762,-0.00037725140912000003,0.0005403389630700928
