nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
       115  8.499999642E-01  8.837209344E-01 -2.336726936E-07  4.541977250E-04  1.202019121E-04  4.377840960E-04  8.837209344E-01  8.499999642E-01 
       116  8.499999642E-01  8.914728761E-01 -2.318627139E-07  5.152849481E-04  1.094995532E-04  5.033510970E-04  8.914728761E-01  8.499999642E-01 
       117  8.499999642E-01  8.992247581E-01 -2.298093875E-07  5.829528673E-04  9.862650768E-05  5.744252703E-04  8.992248178E-01  8.499999642E-01 
       118  8.499999642E-01  9.069766998E-01 -2.275263142E-07  6.572903367E-04  8.767840336E-05  6.513234694E-04  9.069767594E-01  8.499999642E-01 
       119  8.499999642E-01  9.147286415E-01 -2.250280460E-07  7.383834454E-04  7.676399400E-05  7.343132747E-04  9.147287011E-01  8.499999642E-01 
       120  8.499999642E-01  9.224805832E-01 -2.223298452E-07  8.262853371E-04  6.600559573E-05  8.235940477E-04  9.224806428E-01  8.499999642E-01 
       121  8.499999642E-01  9.302325249E-01 -2.194486086E-07  9.209865239E-04  5.553848314E-05  9.192737052E-04  9.302325845E-01  8.499999642E-01 
       122  8.499999642E-01  9.379844666E-01 -2.164002240E-07  1.022384269E-03  4.551069287E-05  1.021344680E-03  9.379844666E-01  8.499999642E-01 
       123  8.499999642E-01  9.457364082E-01 -2.132047996E-07  1.130252494E-03  3.607960025E-05  1.129658311E-03  9.457364082E-01  8.499999642E-01 
       124  8.499999642E-01  9.534883499E-01 -2.098742442E-07  1.244212966E-03  2.741264143E-05  1.243898878E-03  9.534883499E-01  8.499999642E-01 
       125  8.499999642E-01  9.612402916E-01 -2.064403617E-07  1.363707706E-03  1.967519893E-05  1.363558345E-03  9.612402916E-01  8.499999642E-01 
       126  8.499999642E-01  9.689922333E-01 -2.028923944E-07  1.487975707E-03  1.304289253E-05  1.487914124E-03  9.689922333E-01  8.499999642E-01 
       127  8.499999642E-01  9.767441750E-01 -1.993117138E-07  1.616033376E-03  7.658061804E-06  1.616013004E-03  9.767441750E-01  8.499999642E-01 
       128  8.499999642E-01  9.844961166E-01 -1.956309745E-07  1.746664522E-03  3.701650257E-06  1.746659749E-03  9.844961166E-01  8.499999642E-01 
       129  8.499999642E-01  9.922480583E-01 -1.927401172E-07  1.878415234E-03  1.199737198E-06  1.878414536E-03  9.922480583E-01  8.499999642E-01 
       130  8.499999642E-01  1.000000000E+00 -1.917629078E-07  2.009617398E-03  0.000000000E+00  2.009617398E-03  1.000000000E+00  8.499999642E-01 
